alpha,low-beta,high-beta
36455,17322,10031
22808,13578,17862
11740,3733,1889
28228,10870,21486
60122,11506,13886
36761,21622,8743
5075,1997,913
8288,1605,6793
4313,1195,2452
1254,1270,3010
9259,3895,2535
23375,8050,18910
476,782,609
3636,1519,3162
3058,2859,2017
18008,13851,8130
13884,9966,4762
1280,920,6180
8905,3168,12291
10039,13291,10622
2774,2561,1299
41892,9605,13670
5657,15332,52780
10233,2292,4441
6338,9756,7045
4896,2205,11277
58023,15929,11752
3285,1196,5179
27174,22323,6728
8525,9340,3942
22160,19379,6735
8048,4794,9967
4445,3735,4851
63984,23954,116281
816,958,2662
39746,20571,20361
3042,1079,6865
6378,5093,4031
2181,1367,1319
2527,2996,4264
7164,5516,2715
21651,2706,6747
14677,12057,5955
1305,1640,15979
10591,4944,13689
4565,9418,2147
2704,1640,2365
2791,1681,2658
31640,8898,4376
6968,625,5272
10025,6752,8557
4409,6202,4411
54863,9899,11151
2067,4400,2044
32278,17347,11398
12829,23525,70077
2349,3456,5959
16703,6307,14521
11164,3142,2494
6378,3950,2552
1506,16283,33305
3265,561,581
7720,2899,7297
4933,938,8258
3198,2242,2627
331,3296,3474
2933,2959,5108
3358,1235,4207
986,3114,3921
4178,2349,3885
3193,2725,1724
5643,3144,1034
3006,1166,2108
1158,3302,5425
4536,2941,6540
4821,4587,3324
39582,27773,20515
5807,2885,1779
724,3475,14238
4644,1855,3639
5104,1253,2361
3906,2082,1647
2598,1572,4206
17678,4581,6664
3996,5918,2880
1332,7366,4232
6580,1578,1807
3426,754,5394
15409,10300,7990
3086,2720,2146
1402,11991,26795
1248,3502,8485
1476,2539,2234
2574,1857,1715
9369,2516,2351
6061,15110,12637
18960,2137,4897
11440,7319,13558
52865,30136,11744
33522,24214,20527
9561,5377,12682
1321,8769,22952
33853,21100,15156
2750,1243,756
19213,51544,23362
35508,2956,22154
9725,8719,8784
53018,29690,28156
14868,12977,39403
7130,7546,7131
4190,1640,4930
22193,4139,15405
42704,36243,12966
12647,9033,3022
840,4650,1268
26945,20968,25713
5926,1858,3071
13765,2871,1574
1556,1962,2584
1772,2329,2788
41110,14572,13548
17292,6439,8572
40848,11921,10460
5079,3351,2544
5147,37478,22408
4633,2969,5306
4944,2002,3467
10830,23726,12145
19454,10980,11962
6198,3994,1899
3388,3620,920
3575,21477,13778
5571,9325,25596
4662,980,4797
9420,6451,6826
34253,6165,24209
2549,2081,6919
45458,19194,46579
7371,2087,2885
1365,5335,3158
6783,3550,3408
14457,8473,7351
4439,9111,9978
14116,5659,3290
2113,4897,6143
20240,6367,16394
37003,5278,14898
28582,16973,15217
11847,3116,4891
8830,3754,1815
3927,24122,10528
3639,3192,6352
7319,4117,2469
4747,5256,3687
12993,15849,13680
10009,2736,3613
14915,23567,19269
10987,5372,14380
2525,1431,1322
2569,4120,2569
6460,5312,3125
25137,11626,13083
6749,3197,3035
19939,18667,8797
2010,2728,2157
16654,59286,28406
787,2211,4000
10134,7557,28702
7690,6765,16048
8450,5826,2401
1391,2946,3826
4623,2745,2375
2988,2648,1124
2909,6601,11077
5685,3669,3544
2131,4881,3488
9299,4939,2657
3480,1166,3624
2312,7988,5766
1562,1462,2643
