alpha,low-beta,high-beta
2961,9067,5625
16193,41949,17828
199872,105787,32214
4253,14073,8881
11941,9488,17550
15431,25871,18034
28535,11008,14591
49438,43207,15854
35621,13302,9521
937,4144,2369
3551,3808,4195
129935,25223,101327
1558,5201,1248
138,1220,590
28691,6497,2659
18671,7890,10286
91396,29010,31220
5144,2736,2969
113912,129294,68394
26319,36034,12911
35001,21920,18232
12496,3171,4457
24537,11983,11360
8592,34999,9561
26990,9004,12630
19014,6212,4938
93602,16232,16717
13647,3918,10257
28299,22681,19981
38544,5102,17202
5576,2552,1471
38025,37037,26007
27967,6065,5625
14650,69700,66269
42213,12190,10632
2024,9961,3972
83158,41569,19816
7968,4470,5529
37868,50892,23460
12722,3184,8865
5040,13164,6009
16571,18260,11192
6288,108555,115423
24746,35554,13801
28268,9319,5253
14257,2005,3555
45556,21091,18636
2515,7056,6345
23585,159832,34375
43482,28681,25272
69242,39400,19622
7882,31921,24100
93094,74231,37314
1338,3118,1698
176286,114553,74347
6346,3318,2873
5853,3145,13735
3016,1112,1784
56964,29419,33065
2384,8131,5585
135185,64881,28694
43974,21630,9249
23385,26759,15213
56778,8658,20883
5585,11157,24582
29773,15871,14134
73327,32163,37164
3310,17937,6490
9159,21713,9270
77500,17022,20136
15846,17253,21358
739,2717,2732
8066,30071,17090
7276,4044,3491
10367,10962,11502
16494,9298,19402
15606,3010,7039
36287,17937,27418
5210,8270,3155
18499,16479,26657
3086,2215,4242
60582,15256,25289
6944,2963,3564
32170,14371,15330
6255,7187,7272
18753,22948,10639
2866,5033,2099
21572,9263,13657
2063,3255,2355
32391,14152,13534
11683,10233,15053
36261,45981,15458
7098,1999,10669
59102,29528,15022
3557,1947,4003
851,7799,9770
19570,9058,11507
7573,4041,5697
68886,7622,8293
16903,24942,20061
10680,15312,18648
5061,4689,3089
6646,17871,9990
16765,4484,20751
58766,19718,26477
6437,1842,5614
5537,4584,12781
10272,1866,2727
19480,17851,21846
1077,3559,1905
3873,3644,2070
23422,22679,22672
5212,12303,14497
22366,26912,23457
839,1245,2932
6819,11128,13967
4904,7179,13060
23986,33149,17136
19675,12749,9281
16536,22672,16493
66194,16242,12923
8889,3472,1390
8461,7735,3665
8594,10924,9391
2903,9576,12925
16032,14196,4954
25238,8282,7384
27030,16160,6723
9377,13925,17284
11290,13591,18582
3529,1814,1190
144142,95235,49228
616,3562,1532
695,3483,2704
2769,4857,2901
53694,18411,10896
22544,13104,14972
42060,16308,14433
20891,18324,18604
4901,10103,11021
23729,20090,9112
18900,4860,4623
3799,2207,3339
21139,12773,13963
10583,3584,5248
20489,16423,15808
16086,7745,11324
3935,15037,15753
40963,29489,28511
1668,7996,14299
10234,4175,3181
14070,5925,17743
7791,3435,6404
3806,3738,16433
21958,15213,23229
5715,4259,1348
19040,15972,17435
4276,1331,1365
10158,17359,9390
2661,2910,2638
13195,8778,9883
4857,5199,5436
5169,3316,2808
20086,9532,14938
6032,7360,2896
11151,5166,10931
3260,4191,4145
51750,33808,18349
869,5412,9507
133,822,1042
12174,6771,6356
4725,3002,4197
29259,14219,16838
519,2069,4907
15995,17368,23652
12506,12753,9230
4788,3418,6044
11436,25069,13874
18675,30955,15299
12166,7155,6488
