alpha,low-beta,high-beta
108794,22181,13426
12846,10799,9548
33340,43933,21668
19707,4196,8060
4368,17071,9931
35763,31046,23847
11139,44566,6155
5577,12487,12414
14644,21042,11252
4537,2031,1408
1443,2295,1045
20112,8059,44637
33499,4619,5618
8531,7213,3191
5635,31960,19087
6927,7675,2391
47009,10635,10490
4175,3523,1961
13510,5309,2408
17670,12569,8867
7321,8150,4628
18504,5672,3599
15718,9411,9429
4012,1951,1246
2980,9058,17252
8131,2165,1725
1782,3696,2443
3789,7112,2472
3260,1991,2803
4728,2403,5528
22257,12731,6674
3298,1986,1442
2649,3013,3123
6261,6191,4707
238,3040,1673
2421,3314,5575
14028,5805,8541
3114,1896,7839
3840,1295,553
7961,1273,2227
7364,2104,3361
166,5048,2652
56967,12309,11141
2244,1259,1386
5714,13175,7112
9753,746,2088
6855,8149,3180
12087,11823,3716
20067,3281,4421
3558,9471,4250
3642,3180,1575
8938,12835,16692
28091,7631,2839
3757,2598,5125
2207,3428,2539
19254,4277,3660
13341,4121,2788
2304,5300,1796
4971,1996,5095
2786,1377,3041
47814,26689,17687
47932,47844,18803
42759,4955,15168
18088,11904,21076
31389,26901,7066
24312,41270,11970
31683,54202,19452
2068,848,1120
1797,849,4732
2382,6044,2926
13809,24249,12010
7613,4716,4844
4695,9271,3581
83372,22835,74133
100605,129220,20407
23239,24181,8219
35279,37464,23793
15981,9424,10332
6527,21726,23869
9263,6762,4260
4351,4991,13226
4009,15762,7126
32156,54467,28110
3081,5201,2099
158447,109016,60212
15502,57405,39963
38706,29665,21892
13366,9052,15192
17709,39240,30280
9857,2797,2842
121565,23976,11925
14637,19939,23664
14472,21183,3224
2309,34314,14132
20121,64942,17329
26731,12843,5498
44070,8310,12488
21772,8588,9044
32653,17381,27497
1984,3988,2578
40836,58204,47570
21770,17993,8715
6584,8569,5390
18152,27894,9317
40435,25004,27515
12594,13526,7164
8203,21353,11024
1293,8489,9023
7074,7275,8911
161811,67946,34959
5930,6116,7309
23895,9738,16319
17454,20618,11992
1626,4905,9219
133737,61095,17810
1801,6535,4389
24700,39003,63239
18734,8639,5000
7491,3172,3105
71407,21857,37793
16878,4322,6957
2129,1356,2115
25066,13162,25637
2117,5324,1870
9519,8484,12620
1078,729,4823
8919,7901,4269
24394,32881,15160
7617,11423,12163
1974,5376,6466
2417,1075,2453
17242,10583,13334
9180,7075,8576
7570,8535,6672
5150,2068,2297
559,1678,2159
23903,7716,7612
13719,6723,3538
10084,37442,14721
90093,130465,42586
5228,5605,9208
27183,12973,8688
5273,3370,1776
8512,19367,8003
1041,9097,11553
365,1233,2828
7457,10742,15834
27610,6706,3301
1701,1473,2984
4522,6398,1690
10750,6398,6476
3056,3562,1025
17921,9518,10646
1740,2307,1628
24178,12046,5354
5840,5782,2498
2024,3237,874
2393,3394,3983
16478,17586,5676
12453,8123,8812
2628,3978,1780
7934,19699,4013
14194,7333,9788
24806,4606,2915
639,2676,1500
5226,13713,8014
44379,18726,17281
74221,30786,39526
2060,7696,4530
20557,21902,15309
30013,13005,7031
15135,3488,4151
17505,8717,9104
3396,16630,13643
12850,15795,2591
1560,6813,1014
7271,13769,10507
5094,3362,980
11177,4998,10341
18788,4282,11182
